% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
126	1	0	5	0	0	349	0	1	0
127	1	0	11	0	0	349	0	1	0
128	1	0	8	0	0	349	0	1	0
129	1	0	12	0	0	349	0	1	0
130	1	0	15	0	0	349	0	1	0
131	1	0	20	0	0	349	0	1	0
132	1	0	5	0	0	349	0	1	0
133	1	0	11	0	0	349	0	1	0
134	1	0	8	0	0	349	0	1	0
135	1	0	12	0	0	349	0	1	0
136	1	0	15	0	0	349	0	1	0
137	1	0	20	0	0	349	0	1	0
139	1	0	3	0	0	349	0	1	0
140	1	0	4	0	0	349	0	1	0
141	1	0	7	0	0	349	0	1	0
142	1	0	9	0	0	349	0	1	0
143	1	0	10	0	0	349	0	1	0
144	1	0	19	0	0	349	0	1	0
145	1	0	11	0	0	349	0	1	0
146	1	0	8	0	0	349	0	1	0
147	1	0	12	0	0	349	0	1	0
148	1	0	2	0	0	349	0	1	0
149	1	0	18	0	0	349	0	1	0
150	1	0	15	0	0	349	0	1	0
151	1	0	20	0	0	349	0	1	0
152	1	0	5	0	0	349	0	1	0
156	1	0	15	0	0	349	0	1	0
157	1	0	20	0	0	349	0	1	0
158	1	0	5	0	0	349	0	1	0
165	1	0	11	0	0	349	0	1	0
166	1	0	8	0	0	349	0	1	0
167	1	0	12	0	0	349	0	1	0
168	1	0	15	0	0	349	0	1	0
169	1	0	20	0	0	349	0	1	0
170	1	0	5	0	0	349	0	1	0
171	1	0	11	0	0	349	0	1	0
172	1	0	8	0	0	349	0	1	0
173	1	0	12	0	0	349	0	1	0
174	1	0	15	0	0	349	0	1	0
175	1	0	20	0	0	349	0	1	0
176	1	0	5	0	0	349	0	1	0
183	1	0	11	0	0	349	0	1	0
184	1	0	8	0	0	349	0	1	0
185	1	0	12	0	0	349	0	1	0
186	1	0	15	0	0	349	0	1	0
187	1	0	20	0	0	349	0	1	0
188	1	0	5	0	0	349	0	1	0
189	1	0	11	0	0	349	0	1	0
190	1	0	8	0	0	349	0	1	0
191	1	0	12	0	0	349	0	1	0
192	1	0	15	0	0	349	0	1	0
193	1	0	20	0	0	349	0	1	0
194	1	0	5	0	0	349	0	1	0
201	1	0	11	0	0	349	0	1	0
202	1	0	8	0	0	349	0	1	0
203	1	0	12	0	0	349	0	1	0
204	1	0	15	0	0	349	0	1	0
205	1	0	20	0	0	349	0	1	0
206	1	0	5	0	0	349	0	1	0
207	1	0	11	0	0	349	0	1	0
208	1	0	8	0	0	349	0	1	0
209	1	0	12	0	0	349	0	1	0
210	1	0	15	0	0	349	0	1	0
211	1	0	20	0	0	349	0	1	0
212	1	0	5	0	0	349	0	1	0
219	1	0	11	0	0	349	0	1	0
220	1	0	8	0	0	349	0	1	0
221	1	0	12	0	0	349	0	1	0
222	1	0	15	0	0	349	0	1	0
223	1	0	20	0	0	349	0	1	0
224	1	0	5	0	0	349	0	1	0
225	1	0	11	0	0	349	0	1	0
226	1	0	8	0	0	349	0	1	0
227	1	0	12	0	0	349	0	1	0
228	1	0	15	0	0	349	0	1	0
229	1	0	20	0	0	349	0	1	0
230	1	0	5	0	0	349	0	1	0
237	1	0	11	0	0	349	0	1	0
238	1	0	8	0	0	349	0	1	0
239	1	0	12	0	0	349	0	1	0
240	1	0	15	0	0	349	0	1	0
241	1	0	20	0	0	349	0	1	0
242	1	0	5	0	0	349	0	1	0
243	1	0	11	0	0	349	0	1	0
244	1	0	8	0	0	349	0	1	0
245	1	0	12	0	0	349	0	1	0
246	1	0	15	0	0	349	0	1	0
247	1	0	20	0	0	349	0	1	0
248	1	0	5	0	0	349	0	1	0
255	1	0	11	0	0	349	0	1	0
256	1	0	4	0	0	349	0	1	0
257	1	0	8	0	0	349	0	1	0
258	1	0	12	0	0	349	0	1	0
259	1	0	15	0	0	349	0	1	0
260	1	0	20	0	0	349	0	1	0
261	1	0	5	0	0	349	0	1	0
262	1	0	11	0	0	349	0	1	0
263	1	0	8	0	0	349	0	1	0
264	1	0	12	0	0	349	0	1	0
265	1	0	15	0	0	349	0	1	0
266	1	0	20	0	0	349	0	1	0
267	1	0	5	0	0	349	0	1	0
274	1	0	11	0	0	349	0	1	0
275	1	0	8	0	0	349	0	1	0
276	1	0	12	0	0	349	0	1	0
277	1	0	15	0	0	349	0	1	0
278	1	0	20	0	0	349	0	1	0
279	1	0	5	0	0	349	0	1	0
280	1	0	11	0	0	349	0	1	0
281	1	0	8	0	0	349	0	1	0
282	1	0	12	0	0	349	0	1	0
283	1	0	4	0	0	349	0	1	0
284	1	0	15	0	0	349	0	1	0
285	1	0	20	0	0	349	0	1	0
286	1	0	5	0	0	349	0	1	0
288	1	0	4	0	0	349	0	1	0
294	1	0	11	0	0	349	0	1	0
295	1	0	8	0	0	349	0	1	0
296	1	0	12	0	0	349	0	1	0
297	1	0	15	0	0	349	0	1	0
298	1	0	20	0	0	349	0	1	0
299	1	0	5	0	0	349	0	1	0
300	1	0	11	0	0	349	0	1	0
301	1	0	8	0	0	349	0	1	0
302	1	0	12	0	0	349	0	1	0
303	1	0	15	0	0	349	0	1	0
304	1	0	20	0	0	349	0	1	0
305	1	0	5	0	0	349	0	1	0
312	1	0	11	0	0	349	0	1	0
313	1	0	8	0	0	349	0	1	0
314	1	0	12	0	0	349	0	1	0
315	1	0	15	0	0	349	0	1	0
316	1	0	20	0	0	349	0	1	0
317	1	0	5	0	0	349	0	1	0
318	1	0	11	0	0	349	0	1	0
319	1	0	8	0	0	349	0	1	0
320	1	0	12	0	0	349	0	1	0
321	1	0	15	0	0	349	0	1	0
322	1	0	20	0	0	349	0	1	0
323	1	0	5	0	0	349	0	1	0
330	1	0	4	0	26	7708	0	1	0
331	1	0	11	0	0	349	0	1	0
332	1	0	8	0	0	349	0	1	0
333	1	0	12	0	0	349	0	1	0
334	1	0	15	0	0	349	0	1	0
335	1	0	20	0	0	349	0	1	0
336	1	0	4	0	26	7708	0	1	0
337	1	0	5	0	26	7708	0	1	0
338	1	0	11	0	26	7708	0	1	0
